start,ERGO_ID,Gene,E/N,length,transposon_insertions,assertion_error,SP_ID,functional_role,blattner_id,ERGO,eri
17489,REC00019,nhaA,N,388,"42, 62, 99, 128, 158, 183, 205, 255, 261, 295, 307, 342, 376, 385",,P13738,Na(+)/H(+) antiporter 1,b0019,MTR,0.28
18715,REC00020,nhaR,N,301,"24, 52, 112, 134, 244, 264",,P10087,Transcriptional activator protein nhaR,b0020,RCD,0.03
20314,REC06564,insB1,N,167,58,,P03830,Insertion element IS1 1/5/6 protein insB,b0021,PHT,0.00
20508,REC06565,,E,91,-,< 0.2,P03827,Insertion element IS1 1/2/3/5/6 protein insA,b0022,PHT,0.00
21078,REC04295,rpsT,E,87,71,< 0.2,P02378,30S ribosomal protein S20,b0023,PMS,0.78
21181,REC00024,yaaY,?,72,-,,P75620,Hypothetical protein yaaY,b0024,UNC,0.00
21407,REC00025,ribF,E,313,-,< 0.001,P08391,Riboflavin biosynthesis protein ribF,b0025,NCM,0.94
22391,REC06566,ileS,E,938,-,< 0.001,P00956,Isoleucyl-tRNA synthetase (EC 6.1.1.5),b0026,PMS,1.00
25207,REC00027,lspA,E,164,-,< 0.3,P00804,Lipoprotein signal peptidase (EC 3.4.23.36),b0027,PMS,0.97
25826,REC00028,fkpB,N,149,"54, 105",,P22563,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),b0028,PMS,0.34
26277,REC00029,ispH*,E,316,203,< 0.05,P22565,IspH protein (lytB),b0029,LPC,0.75
27293,REC00030,yaaF,N,304,"98, 181, 186, 246, 248",,P22564,Hypothetical protein yaaF,b0030,UNC,0.41
28374,REC00031,dapB,E,273,-,< 0.1,P04036,Dihydrodipicolinate reductase (EC 1.3.1.26),b0031,AAM,0.84
29651,REC00032,carA,N,382,"186, 219, 304, 326",,P00907,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5),b0032,AAM,0.81
30817,REC00033,carB,N,1073,"111, 121, 148, 193, 588, 596, 732, 802, 933",,P00968,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5),b0033,AAM,0.81
34195,REC00034,caiF,N,166,"63, 94, 110, 120, 159, 166",,Q47081,Transcriptional activatory protein caiF,b0034,UNC,0.00
35392,REC04296,caiE,N,203,"150, 188, 202",,P39206,Carnitine operon protein caiE,b0035,UNC,0.00
36270,REC04297,caiD,N,297,"3, 52, 70, 105, 266, 281",,P31551,Carnitine racemase (EC 5.-.-.-),b0036,AAM,0.19
37839,REC04298,caiC,N,522,"355, 435, 478",,P31552,Probable crotonobetaine/carnitine-CoA ligase (EC 6.3.2.-),b0037,UNC,0.19
39115,REC04299,caiB,N,405,"56, 95, 148, 204, 229, 256, 300, 346, 355",,P31572,L-carnitine dehydratase (EC 4.2.1.89),b0038,AAM,0.00
40386,REC04300,caiA,N,380,"52, 196, 301, 354",,P31571,Probable carnitine operon oxidoreductase caiA (EC 1.3.99.-),b0039,UNC,0.41
41931,REC04301,caiT,N,504,"15, 38, 159, 196, 320, 350, 407",,P31553,Probable carnitine transporter,b0040,UNC,0.00
42367,REC00041,fixA,N,268,"35, 56, 57, 85",,P31573,FixA protein,b0041,UNC,0.44
43188,REC00042,fixB,N,313,"28, 245",,P31574,FixB protein,b0042,UNC,0.25
44180,REC00043,fixC,N,428,"26, 30, 43, 138, 164, 181, 187, 223, 313, 409",,P31575,FixC protein,b0043,UNC,0.34
45463,REC00044,fixX,N,95,66,,P31576,Ferredoxin-like protein,b0044,UNC,0.13
45807,REC00045,yaaU,N,443,"117, 179, 320, 422",,P31679,Hypothetical metabolite transport protein yaaU,b0045,UNC,0.22
47246,REC00046,yabF,N,176,150,,P31577,Putative NAD(P)H oxidoreductase yabF (EC 1.6.99.-),b0046,UNC,0.19
47769,REC00047,kefC,N,620,"3, 25, 81, 102, 121, 231, 327, 359, 415, 442, 474",,P03819,Glutathione-regulated potassium-efflux system protein kefC,b0047,MTR,0.16
49823,REC00048,folA,E,159,-,< 0.2,P00379,Dihydrofolate reductase (EC 1.5.1.3),b0048,NCM,0.69
51222,REC04302,apaH,N,280,"84, 205",,P05637,"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)",b0049,NCM,0.25
51606,REC04303,apaG,N,125,"18, 60",,P05636,ApaG protein,b0050,UNC,0.31
52430,REC04304,ksgA,N,273,"1, 29, 123, 187",,P06992,Dimethyladenosine transferase (EC 2.1.1.-),b0051,NAM,1.00
53416,REC04305,pdxA,N,329,"86, 90, 194, 212, 267, 320",,P19624,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),b0052,NCM,0.50
54702,REC04306,surA,N,428,"152, 274, 293, 347, 405",,P21202,Survival protein surA precursor (EC 5.2.1.8),b0053,UNC,0.53
57109,REC04307,imp,E,784,767,< 0.001,P31554,Organic solvent tolerance protein precursor,b0054,UNC,0.47
57364,REC00055,djlA,N,271,"1, 10, 76, 105, 188, 252",,P31680,DnaJ-like protein djlA,b0055,PMS,0.09
58474,REC00056,yabP,N,216,"17, 37, 59, 66, 142, 205",,P39220,Hypothetical protein yabP,b0056,UNC,0.00
59121,REC00057,yabQ,N,52,10,,P39221,Hypothetical protein yabQ,b0057,UNC,0.00
60346,REC04308,rluA,E,219,-,< 0.05,P39219,Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70),b0058,NAM,0.25
63264,REC04309,hepA,N,968,"40, 73, 107, 225, 253, 301, 335, 429, 443, 483",,P23852,RNA polymerase associated protein,b0059,UNC,0.25
65780,REC04310,polB,N,783,"119, 129, 169, 173, 206, 396, 427, 518, 575, 658, 737",,P21189,DNA polymerase II (EC 2.7.7.7),b0060,NAM,0.06
66550,REC04311,araD,N,231,"9, 37, 160",,P08203,L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4),b0061,CHM,0.22
68337,REC04312,araA,N,500,"255, 312, 377, 440, 454",,P08202,L-arabinose isomerase (EC 5.3.1.4),b0062,CHM,0.13
70048,REC04313,araB,N,566,"22, 73, 75, 130, 190, 215, 227, 276, 288, 310, 462, 467",,P08204,L-ribulokinase (EC 2.7.1.16),b0063,CHM,0.06
70387,REC00064,araC,N,292,"102, 265",,P03021,Arabinose operon regulatory protein,b0064,RCD,0.16
71351,REC00065,yabI,N,254,"12, 58",,P30149,Hypothetical protein yabI,b0065,UNC,0.16
72927,REC04314,thiQ,N,232,"66, 78, 215",,P31548,Thiamine transport ATP-binding protein thiQ,b0066,MTR,0.38
74521,REC04315,thiP,N,536,"55, 75, 223, 227, 303, 359, 529",,P31549,Thiamine transport system permease protein thiP,b0067,MTR,0.19
75480,REC04316,tbpA,N,327,"34, 185, 249",,P31550,Thiamine-binding periplasmic protein precursor,b0068,MTR,0.31
77299,REC04317,yabN,N,551,"43, 54, 109, 147, 276, 395, 424",,P33595,Hypothetical protein yabN,b0069,UNC,0.13
77621,REC00070,setA,N,392,316,,P31675,Sugar efflux transporter A,b0070,MTR,0.13
79453,REC04318,leuD,N,201,"29, 79, 166, 185, 194",,P30126,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),b0071,AAM,0.78
80864,REC04319,leuC,N,466,"8, 22, 116, 217, 361, 423, 458",,P30127,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),b0072,AAM,0.78
81961,REC04320,leuB,N,364,"167, 235",,P30125,3-isopropylmalate dehydrogenase (EC 1.1.1.85),b0073,AAM,0.81
83529,REC04321,leuA,N,523,"31, 66, 125, 213, 293, 392, 453",,P09151,2-isopropylmalate synthase (EC 4.1.3.12),b0074,AAM,0.78
83708,REC04322,leuL,N,28,"6, 16",,P09149,Leu operon leader peptide,b0075,RCD,0.00
84191,REC00076,leuO,N,373,"76, 158, 307, 349",,P10151,Probable activator protein in leuABCD operon,b0076,UNC,0.25
85540,REC00077,ilvI,N,604,"61, 87, 126, 162, 345, 434, 602",,P00893,Acetolactate synthase isozyme III large subunit (EC 4.1.3.18),b0077,AAM,0.78
87357,REC00078,ilvH,N,163,"32, 85, 138, 143",,P00894,Acetolactate synthase isozyme III small subunit (EC 4.1.3.18),b0078,AAM,0.69
87860,REC00079,fruL,?,28,-,,P22183,Very hypothetical fruR/shl operon leader peptide,b0079,UNC,0.00
88028,REC00080,fruR,N,334,"63, 104",,P21168,Fructose repressor,b0080,RCD,0.16
89634,REC00081,mraZ,N,152,37,,P22186,Protein mraZ,b0081,UNC,0.50
90094,REC00082,mraW,E,313,-,< 0.05,P18595,S-adenosyl-methyltransferase mraW (EC 2.1.1.-),b0082,RCD,1.00
91032,REC00083,ftsL,E,121,-,< 0.3,P22187,Cell division protein ftsL,b0083,RCD,0.13
91413,REC00084,ftsI,E,588,-,< 0.001,P04286,Peptidoglycan synthetase ftsI precursor,b0084,LPC,0.91
93166,REC00085,murE,E,495,405,< 0.01,P22188,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)",b0085,LPC,0.97
94650,REC00086,murF,N,452,217,,P11880,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase (EC 6.3.2.15)",b0086,LPC,0.91
96002,REC00087,mraY,N,360,89,,P15876,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13),b0087,LPC,0.97
97087,REC00088,murD,E,438,"27, 102",< 0.05,P14900,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9),b0088,LPC,0.97
98403,REC00089,ftsW,E,414,-,< 0.1,P16457,Cell division protein ftsW,b0089,RCD,0.88
99644,REC00090,murG,E,355,-,< 0.2,P17443,UDP-N-acetylglucosamine--N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.-),b0090,LPC,0.97
100765,REC00091,murC,E,491,-,< 0.001,P17952,UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8),b0091,LPC,0.97
102233,REC00092,ddlB,E,306,-,n.d.,P07862,D-alanine--D-alanine ligase B (EC 6.3.2.4),b0092,LPC,0.91
103155,REC00093,ftsQ,E,276,-,n.d.,P06136,Cell division protein ftsQ,b0093,RCD,0.41
103982,REC00094,ftsA,E,420,-,n.d.,P06137,Cell division protein ftsA,b0094,RCD,0.81
105305,REC00095,ftsZ,E,383,-,n.d.,P06138,Cell division protein ftsZ,b0095,RCD,0.97
106557,REC00096,lpxC,?,305,"7, 58",,P07652,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.-),b0096,LPC,0.59
107630,REC00097,secM,E,195,-,< 0.05,P10409,Secretion monitor precursor,b0097,RCD,0.00
108279,REC00098,secA,E,901,"839, 861, 870",< 0.001,P10408,Preprotein translocase secA subunit,b0098,PMS,1.00
111044,REC00099,mutT,N,129,"38, 79",,P08337,Mutator mutT protein (EC 3.6.1.-),b0099,NAM,0.50
111698,REC04323,,?,44,"8, 12",,P75643,FROM BASES 105245 TO 117678 (SECTION 9 OF 400) OF THE COMPLETE GENOME,b0100,UNC,0.00
111846,REC04324,yacG,?,65,"57, 61",,P36681,Hypothetical protein yacG,b0101,UNC,0.28
112599,REC04325,yacF,N,247,123,,P36680,Hypothetical protein yacF,b0102,UNC,0.06
113219,REC04326,coaE,E,206,193,< 0.1,P36679,Dephospho-CoA kinase (EC 2.7.1.24),b0103,NCM,0.94
113444,REC00104,guaC,N,347,"7, 73, 119, 143, 157, 212, 312",,P15344,GMP reductase (EC 1.6.6.8),b0104,NCM,0.34
115724,REC04328,hofC,N,400,"19, 39, 156, 234, 348",,P36646,Protein transport protein hofC,b0106,UNC,0.56
117099,REC04329,hofB,N,461,"96, 138, 181, 345",,P36645,Protein transport protein hofB,b0107,UNC,0.16
117549,REC04330,ppdD,N,146,"36, 36, 61",,P36647,Prepilin peptidase dependent protein D precursor,b0108,UNC,0.06
118645,REC04331,nadC,N,297,114,,P30011,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19),b0109,NCM,0.69
118733,REC00110,ampD,N,183,"18, 65, 117, 176",,P13016,AmpD protein,b0110,UNC,0.34
119281,REC00111,ampE,N,284,"110, 200, 213, 266, 278",,P13017,AmpE protein,b0111,UNC,0.00
121551,REC04332,aroP,N,457,"68, 229, 253, 273, 295, 327, 348",,P15993,Aromatic amino acid transport protein aroP,b0112,MTR,0.03
122092,REC00113,pdhR,N,254,186,,P06957,Pyruvate dehydrogenase complex repressor,b0113,RCD,0.47
123017,REC00114,aceE,N,887,"126, 168, 194, 253, 453, 470, 525, 564, 599, 614, 673, 687, 748, 796",,P06958,Pyruvate dehydrogenase E1 component (EC 1.2.4.1),b0114,CHM,0.38
125695,REC00115,aceF,E,630,-,< 0.0001,P06959,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),b0115,NCM,0.72
127912,REC00116,lpdA,E,474,-,< 0.01,P00391,Dihydrolipoamide dehydrogenase (EC 1.8.1.4),b0116,CHM,0.84
131260,REC04333,yacH,N,617,"26, 120, 143, 144, 192, 204, 313, 480, 547",,P36682,Hypothetical protein yacH,b0117,UNC,0.03
131615,REC00118,acnB,N,865,"695, 712, 774, 777, 850",,P36683,Aconitate hydratase 2 (EC 4.2.1.3),b0118,CHM,0.38
134340,REC00119,yacL,N,136,"87, 123",,P45567,Hypothetical protein yacL,b0119,UNC,0.06
135582,REC04334,speD,N,264,"97, 140, 144, 202, 208",,P09159,S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50),b0120,MSM,0.13
136464,REC04335,speE,N,288,"38, 87",,P09158,Spermidine synthase (EC 2.5.1.16),b0121,AAM,0.38
137040,REC04336,yacC,E,156,-,< 0.2,P23838,Hypothetical protein yacC precursor,b0122,UNC,0.00
137083,REC00123,cueO,N,516,"24, 32, 146, 161, 242, 321, 321, 392, 405",,P36649,Blue copper oxidase cueO precursor,b0123,UNC,0.41
141225,REC04337,gcd,N,796,"20, 23, 157, 181, 578, 601, 644, 694",,P15877,Glucose dehydrogenase [pyrroloquinoline-quinone] (EC 1.1.99.17),b0124,CHM,0.13
141419,REC00125,hpt,N,182,"10, 17, 89, 96, 143",,P36766,Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8),b0125,NCM,0.75
142670,REC04338,yadF,E,220,-,< 0.05,P36857,Protein yadF,b0126,UNC,0.66
142779,REC00127,yadG,N,308,"19, 124, 157, 225, 238",,P36879,Hypothetical ABC transporter ATP-binding protein yadG,b0127,UNC,0.50
143702,REC00128,yadH,N,256,"21, 43, 194",,P36880,Hypothetical protein yadH,b0128,UNC,0.41
144577,REC00129,yadI,E,146,-,< 0.2,P36881,Putative PTS system IIA component yadI (EC 2.7.1.69),b0129,UNC,0.00
145081,REC00130,yadE,N,409,"35, 146, 378",,P31666,Hypothetical protein yadE precursor,b0130,UNC,0.25
146694,REC04339,panD,N,126,"23, 23, 89",,P31664,Aspartate 1-decarboxylase precursor (EC 4.1.1.11),b0131,AAM,0.63
146968,REC00132,yadD,N,300,"134, 135, 153, 227, 273, 277",,P31665,Hypothetical protein yadD,b0132,UNC,0.00
148795,REC04340,panC,N,283,146,,P31663,Pantoate--beta-alanine ligase (EC 6.3.2.1),b0133,NCM,0.75
149601,REC04341,panB,N,264,198,,P31057,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),b0134,NCM,0.75
150953,REC04342,yadC,N,412,"33, 89, 206, 273, 278, 317, 372",,P31058,Hypothetical fimbrial-like protein yadC precursor,b0135,UNC,0.00
151599,REC04343,yadK,N,198,"18, 36, 49, 84, 100, 104, 124, 133, 178",,P37016,Protein yadK,b0136,UNC,0.00
152231,REC04344,yadL,N,201,"33, 49, 145, 150, 180",,P37017,Hypothetical protein yadL precursor,b0137,UNC,0.00
152854,REC04345,yadM,N,203,"71, 125, 132, 183, 199",,P37018,Hypothetical protein yadM precursor,b0138,UNC,0.00
155426,REC04346,htrE,N,865,"53, 66, 116, 184, 199, 232, 267, 300, 315, 330, 337, 361, 389, 395, 422, 587, 592, 774, 829",,P33129,Outer membrane usher protein htrE precursor,b0139,UNC,0.06
156201,REC04347,ecpD,N,246,221,,P33128,Chaperone protein ecpD precursor,b0140,UNC,0.06
156883,REC04348,yadN,N,194,171,,P37050,Hypothetical fimbrial-like protein yadN precursor,b0141,UNC,0.00
157732,REC04349,folK,E,159,-,< 0.1,P26281,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3),b0142,NCM,0.84
159093,REC04350,pcnB,N,454,"32, 39, 144, 247, 303, 350",,P13685,Poly(A) polymerase (EC 2.7.7.19),b0143,NAM,0.97
160112,REC04351,yadB,N,308,"41, 79, 151, 266",,P27305,Hypothetical protein yadB,b0144,UNC,1.00
160604,REC04352,dksA,N,151,"34, 50",,P18274,DnaK suppressor protein,b0145,UNC,0.47
161486,REC04353,sfsA,N,234,"87, 124, 162, 165, 166, 172, 194, 210, 217",,P18273,Sugar fermentation stimulation protein A,b0146,UNC,0.38
162040,REC04354,ligT,N,179,"91, 127, 141, 179",,P37025,2'-5' RNA ligase (EC 6.5.1.-),b0147,NAM,0.38
162060,REC00148,hrpB,N,824,"36, 255, 271, 492, 695, 754, 785, 794",,P37024,ATP-dependent helicase hrpB,b0148,NAM,0.38
164730,REC00149,mrcB,N,844,"19, 30, 110, 178, 229, 284, 295, 389, 433, 593, 840",,P02919,Penicillin-binding protein 1B,b0149,LPC,0.59
167484,REC00150,fhuA,N,747,"45, 135, 204, 213, 291, 321, 331, 413, 519, 554, 571, 653, 672",,P06971,Ferrichrome-iron receptor precursor,b0150,MTR,0.31
169778,REC00151,fhuC,N,265,"46, 79, 191",,P07821,Ferrichrome transport ATP-binding protein fhuC,b0151,MTR,0.69
170575,REC00152,fhuD,N,296,248,,P07822,Ferrichrome-binding periplasmic protein precursor,b0152,MTR,0.16
171462,REC00153,fhuB,N,660,"15, 43, 125, 129, 169, 212, 264, 342, 350, 547",,P06972,Ferrichrome transport system permease protein fhuB,b0153,MTR,0.69
174882,REC04355,hemL,E,426,-,< 0.01,P23893,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)",b0154,NCM,0.75
175107,REC00155,eriC,N,473,"107, 137, 172, 230, 261, 333, 401, 415",,P37019,Voltage-gated ClC-type chloride channel eriC,b0155,MTR,0.47
176610,REC00156,yadR,N,114,39,,P37026,Hypothetical protein yadR,b0156,UNC,0.66
177624,REC04356,yadS,?,207,151,,P37027,Hypothetical protein yadS,b0157,UNC,0.41
178462,REC04357,btuF,N,266,"168, 214, 254",,P37028,Vitamin B12 transport protein btuF precursor,b0158,MTR,0.44
179153,REC04358,mtn,E,232,14,< 0.05,P24247,MTA/SAH nucleosidase,b0159,MSM,0.53
179237,REC00160,dgt,N,505,"122, 241, 260, 313, 337, 359, 486",,P15723,Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1),b0160,NCM,0.47
180884,REC00161,degP,N,474,"48, 135, 262, 309, 356, 382, 441",,P09376,Protease do precursor (EC 3.4.21.-),b0161,PMS,0.94
182445,REC00162,cdaR,N,391,"8, 18, 90, 124, 290, 388",,P37047,Carbohydrate diacid regulator,b0162,RCD,0.16
184095,REC04359,yaeH,N,128,21,,P37048,Hypothetical protein yaeH,b0163,UNC,0.03
185000,REC04360,yaeI,N,247,"30, 40, 64, 73, 127, 164, 228",,P37049,Hypothetical protein yaeI,b0164,UNC,0.25
185947,REC04362,dapD,E,274,-,< 0.01,P03948,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase (EC 2.3.1.117)",b0166,AAM,0.53
188650,REC04363,glnD,E,890,-,< 0.001,P27249,[Protein-PII] uridylyltransferase (EC 2.7.7.59),b0167,SMC,0.38
189506,REC04364,map,E,264,"222, 239",< 0.01,P07906,Methionine aminopeptidase (EC 3.4.11.18),b0168,PMS,1.00
189874,REC00169,rpsB,E,241,-,< 0.05,P02351,30S ribosomal protein S2,b0169,PMS,1.00
190857,REC00170,tsf,E,283,-,< 0.01,P02997,Elongation factor Ts,b0170,PMS,1.00
191855,REC00171,pyrH,E,241,-,< 0.1,P29464,Uridylate kinase (EC 2.7.4.-),b0171,NCM,0.94
192872,REC00172,frr,E,185,-,< 0.2,P16174,Ribosome recycling factor,b0172,PMS,1.00
193521,REC00173,dxr,E,398,-,< 0.01,P45568,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),b0173,LPC,0.78
194903,REC00174,uppS,E,253,"28, 154",< 0.2,Q47675,Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31),b0174,NCM,0.97
195785,REC00175,cdsA,E,249,244,< 0.1,P06466,Phosphatidate cytidylyltransferase (EC 2.7.7.41),b0175,LPC,0.94
196546,REC00176,ecfE,N,450,"34, 236, 297",,P37764,Protease ecfE (EC 3.4.24.-),b0176,PMS,0.94
197928,REC00177,yaeT,E,810,-,< 0.001,P39170,Unknown protein from 2D-page spots M62/M63/O3/O9/T35 precursor,b0177,UNC,0.59
200482,REC00178,hlpA,N,161,"12, 62",,P11457,Histone-like protein HLP-1 precursor,b0178,UNC,0.09
200971,REC00179,lpxD,?,341,24,,P21645,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-),b0179,LPC,0.59
202101,REC00180,fabZ,E,151,-,< 0.3,P21774,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-),b0180,LPC,0.81
202560,REC00181,lpxA,E,262,-,< 0.05,P10440,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),b0181,LPC,0.59
203348,REC00182,lpxB,E,382,-,n.d.,P10441,Lipid-A-disaccharide synthase (EC 2.4.1.182),b0182,LPC,0.59
204493,REC00183,rnhB,E,198,"189, 193",< 0.01,P10442,Ribonuclease HII (EC 3.1.26.4),b0183,NAM,0.91
205126,REC00184,dnaE,E,1160,2,< 0.001,P10443,DNA polymerase III alpha subunit (EC 2.7.7.7),b0184,NAM,1.00
208621,REC00185,accA,E,319,-,< 0.01,P30867,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (EC 6.4.1.2),b0185,LPC,0.75
209679,REC00186,ldcC,N,713,"67, 95, 121, 127, 159, 181, 219, 233, 337, 392, 402, 489, 680",,P52095,"Lysine decarboxylase, constitutive (EC 4.1.1.18)",b0186,AAM,0.09
211850,REC00187,yaeR,N,138,32,,P52096,Hypothetical protein yaeR,b0187,UNC,0.53
212331,REC00188,mesJ,E,432,14,< 0.0001,P52097,Putative cell cycle protein mesJ,b0188,UNC,0.97
213938,REC04365,rof,N,86,38,,P52098,Rof protein,b0189,UNC,0.03
214143,REC06749,yaeP,?,72,-,,P52099,Hypothetical protein yaeP,,UNC,0.03
214291,REC00190,yaeQ,N,181,"90, 172",,P52100,Hypothetical protein yaeQ,b0190,UNC,0.06
214833,REC00191,yaeJ,N,140,"20, 100",,P40711,Hypothetical protein yaeJ,b0191,UNC,0.22
215269,REC00192,cutF,N,236,"90, 124, 148, 159, 190, 208",,P40710,Copper homeostasis protein cutF precursor,b0192,UNC,0.03
217057,REC04366,yaeF,N,292,"60, 83, 92, 136, 250, 269, 275",,P37056,Hypothetical lipoprotein yaeF precursor,b0193,UNC,0.00
218775,REC04367,proS,E,572,564,< 0.001,P16659,Prolyl-tRNA synthetase (EC 6.1.1.15),b0194,PMS,1.00
219594,REC04368,yaeB,?,235,24,,P28634,Hypothetical protein yaeB,b0195,UNC,0.22
219995,REC04369,rcsF,N,134,"12, 40, 62, 97",,P28633,Protein rcsF,b0196,SMC,0.00
220928,REC04370,yaeC,N,271,"176, 216, 224, 255",,P28635,Putative lipoprotein yaeC precursor,b0197,UNC,0.69
221621,REC04371,yaeE,N,217,"20, 119, 184, 205",,P31547,Hypothetical ABC transporter permease protein yaeE,b0198,UNC,0.69
222645,REC04372,abc,N,343,"3, 17, 87, 286",,P30750,ATP-binding protein abc,b0199,UNC,0.97
222833,REC00200,yaeD,N,191,"24, 34, 104",,P31546,Hypothetical protein yaeD,b0200,UNC,0.75
229167,REC00201,dkgB,N,267,"54, 95, 106, 132, 133, 184, 188, 236, 242, 252",,P30863,"2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.-)",b0207,CHM,0.53
230881,REC04373,yafC,N,304,"53, 87, 93, 109, 158, 195, 208, 231, 249, 283, 287",,P30864,Hypothetical transcriptional regulator yafC,b0208,UNC,0.72
231122,REC00203,yafD,N,266,"15, 47, 113, 261",,P30865,Hypothetical protein yafD,b0209,UNC,0.09
231926,REC00204,yafE,E,207,-,< 0.2,P30866,Hypothetical protein yafE,b0210,UNC,0.13
233955,REC04374,mltD,N,452,"63, 109, 180, 196, 253, 326",,P23931,Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-),b0211,LPC,0.38
234782,REC04375,gloB,N,251,224,,Q47677,Probable hydroxyacylglutathione hydrolase (EC 3.1.2.6),b0212,UNC,0.81
234798,REC00207,yafS,N,246,"41, 53, 193, 198",,P75672,Hypothetical protein yafS,b0213,UNC,0.28
236002,REC04376,rnhA,E,155,"42, 72",< 0.2,P00647,Ribonuclease HI (EC 3.1.26.4),b0214,NAM,0.56
236067,REC00209,dnaQ,E,243,"138, 240",< 0.05,P03007,"DNA polymerase III, epsilon chain (EC 2.7.7.7)",b0215,NAM,0.75
237335,REC00210,yafT,N,261,"5, 47, 102, 248",,P77339,Hypothetical lipoprotein yafT precursor,b0217,UNC,0.00
239084,REC04377,yafU,N,112,45,,P77354,Hypothetical protein yafU,b0218,UNC,0.00
239154,REC06766,yhhI,N,74,66,,Q47678,"H repeat-associated protein in rhsB-pit intergenic region (orf-h), YhhI protein",,UNC,0.00
